'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 12:42:37.759,0.0
08/06/2023 12:42:38.783,0.0
08/06/2023 12:42:39.800,0.0
08/06/2023 12:42:40.827,-4.00E-04
08/06/2023 12:42:41.839,-4.00E-04
08/06/2023 12:42:50.898,1.00E-04
08/06/2023 12:42:52.918,1.00E-04
08/06/2023 12:42:54.918,4.00E-04
08/06/2023 12:42:55.919,4.00E-04
08/06/2023 12:42:57.918,1.00E-04
08/06/2023 12:42:58.915,1.00E-04
08/06/2023 12:43:07.996,4.00E-04
08/06/2023 12:43:08.998,4.00E-04
08/06/2023 12:43:14.062,0.0
08/06/2023 12:43:15.082,0.0
08/06/2023 12:43:16.099,0.0
08/06/2023 12:43:17.121,4.00E-04
08/06/2023 12:43:18.138,4.00E-04
08/06/2023 12:43:20.138,3.00E-04
08/06/2023 12:43:21.135,3.00E-04
08/06/2023 12:43:24.140,1.00E-04
08/06/2023 12:43:25.162,1.00E-04
08/06/2023 12:43:39.280,0.0
08/06/2023 12:43:40.298,0.0
08/06/2023 12:43:41.300,0.0
08/06/2023 12:43:42.318,0.0
08/06/2023 12:43:44.318,5.00E-04
08/06/2023 12:43:45.316,5.00E-04
08/06/2023 12:44:14.516,1.00E-04
08/06/2023 12:44:15.518,1.00E-04
08/06/2023 12:44:17.518,0.0
08/06/2023 12:44:19.519,0.0
08/06/2023 12:44:21.518,1.00E-04
08/06/2023 12:44:22.514,1.00E-04
08/06/2023 12:44:24.516,2.00E-04
08/06/2023 12:44:25.517,2.00E-04
08/06/2023 12:44:30.535,3.00E-04
08/06/2023 12:44:31.539,3.00E-04
08/06/2023 12:44:33.538,5.00E-04
08/06/2023 12:44:34.535,5.00E-04
08/06/2023 12:44:37.538,3.00E-04
08/06/2023 12:44:38.535,3.00E-04
08/06/2023 12:44:40.562,0.0
08/06/2023 12:44:41.581,0.0
08/06/2023 12:44:42.598,0.0
08/06/2023 12:44:44.599,1.00E-04
08/06/2023 12:44:45.595,1.00E-04
08/06/2023 12:44:50.638,0.0
08/06/2023 12:44:52.639,0.0
08/06/2023 12:44:53.658,0.0
08/06/2023 12:44:55.658,0.0
08/06/2023 12:44:56.666,0.0
08/06/2023 12:44:57.678,0.0
08/06/2023 12:44:58.680,0.0
