'EPIC GC Atmion.PG.MV Log File

'Date,GC Atmion.PG.MV
08/06/2023 00:08:02.954,3.80E-08
08/06/2023 00:08:03.963,3.80E-08
08/06/2023 00:08:04.987,3.80E-08
08/06/2023 00:08:06.002,3.80E-08
08/06/2023 00:08:07.019,3.80E-08
08/06/2023 00:08:08.030,3.80E-08
08/06/2023 00:08:09.052,3.90E-08
08/06/2023 00:08:10.066,3.90E-08
08/06/2023 00:08:11.084,3.90E-08
08/06/2023 00:08:12.110,3.90E-08
08/06/2023 00:08:13.119,3.90E-08
08/06/2023 00:08:14.141,4.00E-08
08/06/2023 00:08:15.150,4.00E-08
08/06/2023 00:08:16.171,4.00E-08
08/06/2023 00:08:17.194,4.00E-08
08/06/2023 00:08:18.215,4.00E-08
08/06/2023 00:08:19.223,4.00E-08
08/06/2023 00:08:20.233,4.00E-08
08/06/2023 00:08:21.256,4.00E-08
08/06/2023 00:08:22.267,4.10E-08
08/06/2023 00:08:23.287,4.10E-08
08/06/2023 00:08:24.296,4.10E-08
08/06/2023 00:08:25.307,4.10E-08
08/06/2023 00:08:26.330,4.10E-08
08/06/2023 00:08:27.354,4.10E-08
08/06/2023 00:08:28.380,4.10E-08
08/06/2023 00:08:29.394,4.10E-08
08/06/2023 00:08:30.405,4.10E-08
08/06/2023 00:08:31.416,4.10E-08
08/06/2023 00:08:32.440,4.20E-08
08/06/2023 00:08:33.463,4.20E-08
08/06/2023 00:08:34.475,4.20E-08
08/06/2023 00:08:35.492,4.20E-08
08/06/2023 00:08:36.510,4.20E-08
08/06/2023 00:08:37.531,4.20E-08
08/06/2023 00:08:38.542,4.20E-08
08/06/2023 00:08:39.555,4.20E-08
08/06/2023 00:08:40.564,4.30E-08
08/06/2023 00:08:41.583,4.30E-08
08/06/2023 00:08:42.593,4.30E-08
08/06/2023 00:08:43.603,4.30E-08
08/06/2023 00:08:44.624,4.30E-08
08/06/2023 00:08:45.634,4.40E-08
08/06/2023 00:08:46.646,4.40E-08
08/06/2023 00:08:47.671,4.40E-08
08/06/2023 00:08:48.694,4.40E-08
