'EPIC O.MF.MV Log File

'Date,O.MF.MV
08/06/2023 13:53:17.171,1.004
08/06/2023 13:53:18.174,1.004
08/06/2023 13:53:20.189,0.9988
08/06/2023 13:53:21.191,0.9988
08/06/2023 14:53:22.163,0.9988
08/06/2023 15:53:22.188,1.001
08/06/2023 15:53:38.355,0.1900
08/06/2023 15:53:39.352,0.1900
08/06/2023 15:53:41.354,9.04E-02
08/06/2023 15:53:42.367,9.04E-02
08/06/2023 15:53:45.399,7.64E-02
08/06/2023 15:53:46.430,7.64E-02
08/06/2023 15:54:16.698,7.08E-02
08/06/2023 15:54:17.701,7.08E-02
08/06/2023 15:54:42.920,7.60E-02
08/06/2023 15:54:43.926,7.60E-02
08/06/2023 15:58:35.492,7.08E-02
08/06/2023 15:58:36.488,7.08E-02
08/06/2023 16:01:25.481,6.48E-02
08/06/2023 16:01:26.478,6.48E-02
08/06/2023 16:04:29.747,5.96E-02
08/06/2023 16:04:30.752,5.96E-02
08/06/2023 16:12:00.407,5.44E-02
08/06/2023 16:12:01.410,5.44E-02
08/06/2023 16:12:23.634,5.96E-02
08/06/2023 16:12:24.650,5.96E-02
08/06/2023 16:15:08.543,5.44E-02
08/06/2023 16:15:09.567,5.44E-02
08/06/2023 16:15:40.183,6.08E-02
08/06/2023 16:15:41.203,6.08E-02
08/06/2023 16:16:42.373,5.44E-02
08/06/2023 16:16:43.392,5.44E-02
08/06/2023 16:19:06.188,5.96E-02
08/06/2023 16:19:07.193,5.96E-02
08/06/2023 16:19:50.021,5.44E-02
08/06/2023 16:19:51.049,5.44E-02
08/06/2023 16:23:05.821,6.04E-02
08/06/2023 16:23:06.841,6.04E-02
08/06/2023 16:23:19.081,5.48E-02
08/06/2023 16:23:20.104,5.48E-02
08/06/2023 16:23:41.522,6.00E-02
08/06/2023 16:23:42.540,6.00E-02
08/06/2023 16:24:03.962,5.40E-02
08/06/2023 16:24:04.982,5.40E-02
08/06/2023 16:24:48.855,5.92E-02
08/06/2023 16:24:49.861,5.92E-02
08/06/2023 16:25:40.850,5.36E-02
08/06/2023 16:25:41.871,5.36E-02
08/06/2023 16:39:34.465,4.84E-02
08/06/2023 16:39:35.485,4.84E-02
08/06/2023 16:39:51.804,5.36E-02
08/06/2023 16:39:52.824,5.36E-02
08/06/2023 16:54:06.803,4.80E-02
08/06/2023 16:54:07.821,4.80E-02
08/06/2023 16:54:30.843,5.40E-02
08/06/2023 16:54:31.865,5.40E-02
08/06/2023 16:57:02.670,4.88E-02
08/06/2023 16:57:03.671,4.88E-02
08/06/2023 16:58:11.791,5.48E-02
08/06/2023 16:58:12.787,5.48E-02
08/06/2023 16:58:40.851,4.96E-02
08/06/2023 16:58:41.848,4.96E-02
08/06/2023 16:59:36.168,5.52E-02
08/06/2023 16:59:37.172,5.52E-02
08/06/2023 17:00:07.292,4.96E-02
08/06/2023 17:00:08.288,4.96E-02
08/06/2023 17:01:21.622,5.48E-02
08/06/2023 17:01:22.619,5.48E-02
08/06/2023 17:02:30.879,4.96E-02
08/06/2023 17:02:31.880,4.96E-02
08/06/2023 17:03:32.121,5.48E-02
08/06/2023 17:03:33.118,5.48E-02
08/06/2023 17:04:50.361,4.96E-02
