'EPIC O.Forward.MV Log File

'Date,O.Forward.MV
08/06/2023 12:43:24.141,307.5
08/06/2023 12:43:26.179,306.9
08/06/2023 12:43:27.175,306.9
08/06/2023 12:43:31.175,305.6
08/06/2023 12:43:32.180,308.1
08/06/2023 12:43:33.200,307.5
08/06/2023 12:43:34.220,306.2
08/06/2023 12:43:36.222,306.2
08/06/2023 12:43:40.298,307.5
08/06/2023 12:43:41.300,306.9
08/06/2023 12:43:43.315,305.6
08/06/2023 12:43:44.319,305.6
08/06/2023 12:43:46.318,306.9
08/06/2023 12:43:47.316,307.5
08/06/2023 12:43:48.318,306.2
08/06/2023 12:43:50.320,305.6
08/06/2023 12:43:53.382,307.5
08/06/2023 12:43:54.401,306.2
08/06/2023 12:43:55.420,307.5
08/06/2023 12:43:57.419,306.9
08/06/2023 12:44:00.415,305.6
08/06/2023 12:44:01.418,305.6
08/06/2023 12:44:03.421,307.5
08/06/2023 12:44:04.440,307.5
08/06/2023 12:44:05.458,305.6
08/06/2023 12:44:07.460,308.1
08/06/2023 12:44:08.479,307.5
08/06/2023 12:44:10.481,306.2
08/06/2023 12:44:11.499,307.5
08/06/2023 12:44:12.500,305.6
08/06/2023 12:44:13.519,305.0
08/06/2023 12:44:15.519,307.5
08/06/2023 12:44:17.518,307.5
08/06/2023 12:44:19.519,305.6
08/06/2023 12:44:21.519,306.9
08/06/2023 12:44:22.515,306.2
08/06/2023 12:44:27.518,305.6
08/06/2023 12:44:28.526,305.6
08/06/2023 12:44:34.535,307.5
08/06/2023 12:44:35.539,305.0
08/06/2023 12:44:36.535,305.0
08/06/2023 12:44:37.539,306.2
08/06/2023 12:44:38.535,306.9
08/06/2023 12:44:39.540,304.4
08/06/2023 12:44:40.562,306.9
08/06/2023 12:44:41.581,307.5
08/06/2023 12:44:42.599,305.6
08/06/2023 12:44:43.595,306.2
08/06/2023 12:44:45.595,306.9
08/06/2023 12:44:46.599,308.1
08/06/2023 12:44:48.600,305.6
08/06/2023 12:44:49.620,305.6
08/06/2023 12:44:50.639,307.5
08/06/2023 12:44:52.640,306.9
08/06/2023 12:44:53.658,305.0
08/06/2023 12:44:55.659,306.9
08/06/2023 12:44:56.667,306.2
08/06/2023 12:44:59.699,305.6
08/06/2023 12:45:00.711,306.9
08/06/2023 12:45:01.722,306.2
08/06/2023 12:45:06.739,305.0
08/06/2023 12:45:07.736,305.6
08/06/2023 12:45:10.736,306.9
08/06/2023 12:45:11.739,306.9
08/06/2023 12:45:13.739,305.0
08/06/2023 12:45:14.735,305.0
