'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:53:59.525,4.22E-06
08/06/2023 14:54:00.546,4.12E-06
08/06/2023 14:54:01.555,4.12E-06
08/06/2023 14:54:02.586,4.02E-06
08/06/2023 14:54:03.607,4.02E-06
08/06/2023 14:54:04.610,4.02E-06
08/06/2023 14:54:05.625,4.02E-06
08/06/2023 14:54:06.631,4.12E-06
08/06/2023 14:54:07.642,4.02E-06
08/06/2023 14:54:08.643,4.12E-06
08/06/2023 14:54:09.655,4.12E-06
08/06/2023 14:54:11.656,4.12E-06
08/06/2023 14:54:12.671,4.02E-06
08/06/2023 14:54:13.683,4.22E-06
08/06/2023 14:54:14.686,4.22E-06
08/06/2023 14:54:15.698,4.32E-06
08/06/2023 14:54:16.702,4.32E-06
08/06/2023 14:54:17.712,4.32E-06
08/06/2023 14:54:18.733,4.43E-06
08/06/2023 14:54:19.744,4.43E-06
08/06/2023 14:54:20.747,4.54E-06
08/06/2023 14:54:21.768,4.43E-06
08/06/2023 14:54:22.781,4.43E-06
08/06/2023 14:54:23.800,4.54E-06
08/06/2023 14:54:24.809,4.76E-06
08/06/2023 14:54:26.820,4.65E-06
08/06/2023 14:54:28.821,4.76E-06
08/06/2023 14:54:29.827,4.88E-06
08/06/2023 14:54:30.838,4.88E-06
08/06/2023 14:54:31.849,4.76E-06
08/06/2023 14:54:32.863,4.88E-06
08/06/2023 14:54:33.873,5.00E-06
08/06/2023 14:54:34.889,5.00E-06
08/06/2023 14:54:35.900,5.12E-06
08/06/2023 14:54:36.921,5.00E-06
08/06/2023 14:54:37.932,5.00E-06
08/06/2023 14:54:38.933,5.00E-06
08/06/2023 14:54:39.942,5.00E-06
08/06/2023 14:54:40.954,5.00E-06
08/06/2023 14:54:41.962,5.00E-06
08/06/2023 14:54:42.991,5.12E-06
08/06/2023 14:54:44.006,5.24E-06
08/06/2023 14:54:45.017,5.12E-06
08/06/2023 14:54:46.020,5.24E-06
08/06/2023 14:54:47.024,5.24E-06
08/06/2023 14:54:48.032,5.37E-06
08/06/2023 14:54:49.038,5.37E-06
08/06/2023 14:54:50.052,5.24E-06
08/06/2023 14:54:51.063,5.37E-06
08/06/2023 14:54:52.071,5.37E-06
08/06/2023 14:54:53.074,5.37E-06
08/06/2023 14:54:54.086,5.37E-06
08/06/2023 14:54:55.097,5.37E-06
08/06/2023 14:54:56.111,5.37E-06
08/06/2023 14:54:58.120,5.37E-06
08/06/2023 14:54:59.142,5.50E-06
08/06/2023 14:55:00.153,5.37E-06
08/06/2023 14:55:01.163,5.37E-06
08/06/2023 14:55:02.164,5.37E-06
08/06/2023 14:55:03.165,5.50E-06
08/06/2023 14:55:04.182,5.37E-06
08/06/2023 14:55:05.194,5.37E-06
08/06/2023 14:55:06.207,5.50E-06
08/06/2023 14:55:07.225,5.50E-06
08/06/2023 14:55:08.231,5.50E-06
08/06/2023 14:55:10.234,5.50E-06
08/06/2023 14:55:11.245,5.50E-06
08/06/2023 14:55:12.268,5.50E-06
08/06/2023 14:55:13.278,5.50E-06
08/06/2023 14:55:14.293,5.50E-06
08/06/2023 14:55:15.303,5.50E-06
08/06/2023 14:55:16.327,5.64E-06
08/06/2023 14:55:17.340,5.50E-06
08/06/2023 14:55:18.360,5.50E-06
08/06/2023 14:55:19.381,5.64E-06
08/06/2023 14:55:20.390,5.50E-06
08/06/2023 14:55:21.404,5.50E-06
08/06/2023 14:55:22.425,5.50E-06
08/06/2023 14:55:23.434,5.50E-06
08/06/2023 14:55:25.445,5.64E-06
08/06/2023 14:55:27.456,5.64E-06
08/06/2023 14:55:28.473,5.64E-06
08/06/2023 14:55:29.491,5.78E-06
08/06/2023 14:55:30.508,5.64E-06
08/06/2023 14:55:31.509,5.64E-06
08/06/2023 14:55:32.529,5.78E-06
08/06/2023 14:55:33.539,5.64E-06
08/06/2023 14:55:34.543,5.64E-06
08/06/2023 14:55:35.546,5.64E-06
08/06/2023 14:55:36.567,5.64E-06
08/06/2023 14:55:37.582,5.78E-06
08/06/2023 14:55:38.591,5.64E-06
08/06/2023 14:55:39.601,5.78E-06
08/06/2023 14:55:40.604,5.78E-06
08/06/2023 14:55:41.618,5.78E-06
08/06/2023 14:55:42.643,5.92E-06
08/06/2023 14:55:43.661,5.78E-06
08/06/2023 14:55:44.668,5.92E-06
08/06/2023 14:55:45.678,5.78E-06
08/06/2023 14:55:46.682,5.78E-06
08/06/2023 14:55:47.709,5.92E-06
08/06/2023 14:55:48.733,5.92E-06
08/06/2023 14:55:49.754,5.78E-06
08/06/2023 14:55:50.763,5.92E-06
08/06/2023 14:55:51.765,5.92E-06
08/06/2023 14:55:52.784,5.92E-06
08/06/2023 14:55:53.801,5.92E-06
08/06/2023 14:55:54.810,5.92E-06
08/06/2023 14:55:55.821,5.92E-06
08/06/2023 14:55:57.821,6.06E-06
08/06/2023 14:55:58.840,6.06E-06
08/06/2023 14:55:59.855,6.06E-06
08/06/2023 14:56:00.875,6.06E-06
08/06/2023 14:56:02.890,6.21E-06
08/06/2023 14:56:03.893,6.06E-06
08/06/2023 14:56:04.903,6.21E-06
08/06/2023 14:56:05.905,6.21E-06
08/06/2023 14:56:06.916,6.21E-06
08/06/2023 14:56:07.926,6.21E-06
08/06/2023 14:56:08.932,6.36E-06
08/06/2023 14:56:09.943,6.21E-06
08/06/2023 14:56:10.956,6.21E-06
08/06/2023 14:56:11.965,6.36E-06
08/06/2023 14:56:12.976,6.36E-06
08/06/2023 14:56:13.985,6.52E-06
08/06/2023 14:56:15.993,6.52E-06
08/06/2023 14:56:17.004,6.52E-06
08/06/2023 14:56:18.005,6.36E-06
08/06/2023 14:56:19.015,6.52E-06
08/06/2023 14:56:20.019,6.52E-06
08/06/2023 14:56:21.030,6.52E-06
08/06/2023 14:56:22.031,6.36E-06
08/06/2023 14:56:23.044,6.52E-06
08/06/2023 14:56:24.064,6.52E-06
08/06/2023 14:56:25.075,6.52E-06
08/06/2023 14:56:26.078,6.36E-06
08/06/2023 14:56:27.093,6.52E-06
08/06/2023 14:56:28.108,6.52E-06
08/06/2023 14:56:30.112,6.36E-06
08/06/2023 14:56:31.121,6.36E-06
08/06/2023 14:56:32.146,6.21E-06
08/06/2023 14:56:33.152,6.36E-06
08/06/2023 14:56:34.162,6.21E-06
08/06/2023 14:56:35.174,6.21E-06
08/06/2023 14:56:36.184,6.21E-06
08/06/2023 14:56:37.187,6.21E-06
08/06/2023 14:56:38.190,5.92E-06
08/06/2023 14:56:39.201,6.06E-06
08/06/2023 14:56:40.225,6.06E-06
08/06/2023 14:56:41.234,5.92E-06
08/06/2023 14:56:42.244,5.92E-06
08/06/2023 14:56:43.279,5.78E-06
08/06/2023 14:56:44.297,5.64E-06
08/06/2023 14:56:45.299,5.78E-06
08/06/2023 14:56:46.312,5.78E-06
08/06/2023 14:56:47.316,5.78E-06
08/06/2023 14:56:49.327,5.64E-06
08/06/2023 14:56:50.347,5.64E-06
08/06/2023 14:56:51.360,5.64E-06
08/06/2023 14:56:52.363,5.50E-06
08/06/2023 14:56:53.376,5.50E-06
08/06/2023 14:56:55.388,5.64E-06
08/06/2023 14:56:56.389,5.64E-06
